Date,Close,High,Low,Open,Volume
2023-07-07,1755.0,1820.0,1700.0,1745.0,411565100
2023-07-10,1750.0,1765.0,1745.0,1755.0,59010700
2023-07-11,1750.0,1760.0,1750.0,1750.0,34028600
2023-07-12,1765.0,1765.0,1750.0,1750.0,27860100
2023-07-13,1760.0,1765.0,1750.0,1765.0,41745700
2023-07-14,1780.0,1795.0,1755.0,1760.0,36126300
2023-07-17,1800.0,1805.0,1780.0,1790.0,42037800
2023-07-18,1875.0,1935.0,1800.0,1800.0,64182800
2023-07-20,1845.0,1915.0,1825.0,1880.0,38857400
2023-07-21,1875.0,1885.0,1840.0,1845.0,33106100
2023-07-24,2010.0,2030.0,1860.0,1880.0,58408400
2023-07-25,2300.0,2310.0,1960.0,2020.0,78275300
2023-07-26,2280.0,2410.0,2220.0,2310.0,57626800
2023-07-27,2470.0,2480.0,2250.0,2290.0,65302700
2023-07-28,2660.0,2810.0,2460.0,2470.0,94264400
2023-07-31,2810.0,2850.0,2680.0,2680.0,72440600
2023-08-01,2800.0,3230.0,2390.0,2830.0,179828300
2023-08-02,2830.0,2950.0,2550.0,2790.0,142828200
2023-08-03,2830.0,2880.0,2790.0,2830.0,51237100
2023-08-04,2870.0,2940.0,2830.0,2830.0,53097600
2023-08-07,2930.0,2950.0,2850.0,2880.0,45436600
2023-08-08,2960.0,2970.0,2920.0,2930.0,54714300
2023-08-09,3000.0,3020.0,2960.0,2960.0,55024200
2023-08-10,3000.0,3040.0,2800.0,3010.0,52237600
2023-08-11,3000.0,3020.0,2990.0,3000.0,27254100
2023-08-14,3080.0,3080.0,3000.0,3010.0,37538100
2023-08-15,3190.0,3200.0,3070.0,3080.0,48297700
2023-08-16,3300.0,3300.0,3170.0,3200.0,52448700
2023-08-18,3350.0,3380.0,3300.0,3330.0,39653600
2023-08-21,3440.0,3440.0,3340.0,3360.0,42819200
2023-08-22,3610.0,3610.0,3430.0,3440.0,77881500
2023-08-23,3830.0,3840.0,3610.0,3620.0,71234600
