Date,Close,High,Low,Open,Volume
2023-01-02,7820.34423828125,7866.077245522661,7774.6112310398385,7843.210741901955,10653900
2023-01-03,7820.34423828125,7866.077245522661,7797.477734660544,7820.34423828125,27399100
2023-01-04,7637.4130859375,7843.2116421453975,7637.4130859375,7797.478629654754,90918800
2023-01-05,7545.94677734375,7660.279304273201,7454.480755800189,7637.412798887311,128838500
2023-01-06,7591.68017578125,7614.546682334809,7408.748123352787,7408.748123352787,69286600
2023-01-09,7728.87890625,7728.87890625,7614.546378051035,7614.546378051035,86916900
2023-01-10,7477.34716796875,7706.012218976969,7454.480662867928,7683.145713876147,101759100
2023-01-11,7431.6142578125,7454.480763221153,7317.28173076923,7363.014741586538,96069100
2023-01-12,7477.34716796875,7568.813188372037,7431.614157767106,7454.480662867928,103804600
2023-01-13,7363.01513671875,7477.347669897613,7340.148630082977,7454.48116326184,119748200
2023-01-16,7454.48046875,7500.213477760736,7363.014450728528,7363.014450728528,105710700
2023-01-17,7614.54638671875,7660.279398050395,7454.480847057996,7477.347352723818,88695900
2023-01-18,7591.68017578125,7614.546682334809,7477.347643013461,7500.2141495670185,96814600
2023-01-19,7614.54638671875,7637.412892384573,7545.946869721284,7637.412892384573,66391800
2023-01-20,7591.68017578125,7614.546682334809,7545.947162674134,7568.813669227692,96859500
2023-01-24,7523.08056640625,7637.4130978106,7523.08056640625,7591.68008524886,42474500
2023-01-25,7500.21435546875,7591.680384193978,7500.21435546875,7591.680384193978,66124500
2023-01-26,7751.74560546875,7751.74560546875,7523.080543360527,7523.080543360527,77582300
2023-01-27,7957.54345703125,8094.742482152478,7820.344431910022,7957.54345703125,196804700
2023-01-30,7957.54345703125,8026.142969591864,7843.210936096893,7980.409961218122,68544300
2023-01-31,7751.74560546875,7934.6776551553285,7751.74560546875,7888.944642733683,200589000
2023-02-01,7774.6123046875,7843.211825022978,7728.8792911305145,7843.211825022978,77396200
2023-02-02,7728.87890625,7797.478423169379,7683.145894970415,7706.012400610207,99109500
2023-02-03,7957.54345703125,7957.54345703125,7774.611423536279,7820.344431910022,71716700
2023-02-06,7980.41162109375,8003.278130036712,7911.812094264864,8003.278130036712,117757700
2023-02-07,8094.74267578125,8094.74267578125,8003.276656845868,8026.143161579714,116014700
2023-02-08,8071.87646484375,8094.7429704098795,8049.00995927762,8071.87646484375,54495500
2023-02-09,8140.47509765625,8140.47509765625,8049.009085323034,8071.8755884063385,72381700
2023-02-10,8071.87646484375,8140.4759815421385,7957.543937013102,8117.609475976009,62060900
2023-02-13,8117.60986328125,8140.47636993838,8026.143836652729,8117.60986328125,63775000
2023-02-14,8186.208984375,8186.208984375,8071.876456660265,8094.742962203212,81678200
2023-02-15,8117.60986328125,8140.47636993838,8003.277329995598,8117.60986328125,38037000
2023-02-16,7957.54345703125,8094.742482152478,7957.54345703125,8071.8759779656075,66040400
