Date,Close,High,Low,Open,Volume,SMA_20,EMA_9,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATR_14,Target_Next_Day
2023-02-17,125.0,127.0,122.0,122.0,7262941800,117.35000000000001,118.83981259940168,64.08781991284522,5.3983912791485125,-0.7938648986420151,6.192256177790528,6.337586508200526,0.0
2023-02-20,122.0,128.0,120.0,127.0,6521473000,117.75,119.47185007952136,60.34638581758133,5.318626295265091,-0.6989039060203499,6.017530201285441,6.456330329043346,0.0
2023-02-21,121.0,123.0,120.0,122.0,2981870500,117.85,119.77748006361709,59.107675066123264,5.1157491563790245,-0.7214248359251334,5.837173992304158,6.209449591254535,0.0
2023-02-22,116.0,120.0,113.0,119.0,4225445100,117.79999999999998,119.02198405089368,53.22482753592037,4.499640296495315,-1.0700269566470748,5.56966725314239,6.337346049022068,0.0
2023-02-23,116.0,119.0,115.0,118.0,1792359400,117.84999999999998,118.41758724071495,53.22482753592037,3.965655972694748,-1.2832090243581131,5.248864997052861,6.170392759806206,1.0
2023-02-24,120.0,122.0,116.0,118.0,2348456200,118.0,118.73406979257197,57.17903556509058,3.821187844672153,-1.1421417219045669,4.96332956657672,6.158221848391477,0.0
2023-02-27,118.0,122.0,117.0,120.0,2277082600,118.25,118.58725583405757,54.68958541047928,3.5049101051140212,-1.166735569170159,4.67164567428418,6.075491716363515,0.0
2023-02-28,118.0,119.0,114.0,118.0,3160179500,118.55000000000001,118.46980466724605,54.68958541047928,3.217172159817892,-1.1635788115730312,4.380750971390923,5.9986708794804064,1.0
2023-03-01,122.0,123.0,118.0,119.0,3981849100,119.0,119.17584373379685,58.845645045044776,3.2741618361833957,-0.885271308166022,4.159433144349418,5.927337245231806,0.0
2023-03-02,121.0,125.0,120.0,122.0,2721105200,118.85000000000001,119.54067498703749,57.42747550933232,3.201727402154262,-0.766164593756125,3.967891995910387,5.861098870572391,1.0
2023-03-03,124.0,124.0,122.0,123.0,2184394100,118.85000000000001,120.43253998963,60.50276796959291,3.3478060945570434,-0.4960687210826751,3.8438748156397184,5.6567346655315065,1.0
2023-03-06,128.0,129.0,124.0,125.0,3551983600,119.25,121.94603199170402,64.21458451576471,3.743191895219539,-0.08054633633614383,3.8237382315556827,5.60982504656497,1.0
2023-03-07,129.0,132.0,128.0,129.0,3779176100,119.55000000000003,123.35682559336321,65.09766248069786,4.0900817174455,0.2130747887118538,3.877006928733646,5.494837543238901,1.0
2023-03-08,130.0,131.0,126.0,129.0,4196129100,120.05000000000001,124.68546047469057,66.00118999873028,4.395022954603192,0.4144128206956368,3.9806101339075552,5.459492004436123,0.0
2023-03-09,129.0,132.0,128.0,131.0,1922759300,120.9,125.54836837975246,64.21107274291978,4.504079217850929,0.4187752671546985,4.085303950696231,5.355242575547829,0.0
2023-03-10,125.0,129.0,123.0,128.0,2283679700,121.9,125.43869470380197,57.4937664961422,4.219105301958393,0.1070410810097302,4.112064220948663,5.401296677294413,1.0
2023-03-13,126.0,129.0,121.0,124.0,4384992200,122.4,125.55095576304159,58.65815985154721,4.027526247604342,-0.06763037867545663,4.095156626279799,5.586918343201955,0.0
