Date,Close,High,Low,Open,Volume,SMA_20,EMA_9,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATR_14,Target_Next_Day
2023-09-27,5650.0,5750.0,5575.0,5650.0,43138000,5372.0,5512.657061641961,71.00933304923105,466.927354039648,-79.76500156199995,546.6923556016479,276.00613406225057,1.0
2023-09-29,5925.0,5975.0,5650.0,5675.0,75787100,5441.75,5595.125649313569,75.1756534482908,470.3147093978887,-61.10211696300735,531.416826360896,279.50569591494695,1.0
2023-10-02,6100.0,6100.0,5600.0,5800.0,76950900,5509.25,5696.100519450855,77.4013548503418,481.5690224631999,-39.87824311815689,521.4472655813568,295.25528906387933,1.0
2023-10-03,6300.0,6375.0,6075.0,6125.0,57323200,5575.75,5816.880415560684,79.64724685675615,500.8529540959862,-16.475449188296466,517.3284032842827,295.594196987888,0.0
2023-10-04,6150.0,6400.0,5925.0,6325.0,92665100,5633.75,5883.504332448548,73.72902925607116,498.2879096020597,-15.232394945778424,513.5203045478381,308.40889720303886,1.0
2023-10-05,6300.0,6325.0,6050.0,6150.0,54846800,5688.75,5966.803465958838,75.6755036757293,502.5655766270229,-8.763782336652184,511.3293589636751,306.02254740282183,0.0
2023-10-06,6275.0,6325.0,6125.0,6300.0,52587900,5732.5,6028.442772767071,74.68233299746913,498.1954801180682,-10.507103076485578,508.70258319455377,298.44950830262025,1.0
2023-10-09,6425.0,6475.0,6100.0,6300.0,78633500,5773.75,6107.754218213657,76.66147899977148,501.05998592879405,-6.114077812607832,507.1740637414019,303.9174005667188,1.0
2023-10-10,6500.0,6525.0,6375.0,6425.0,45848900,5823.75,6186.203374570926,77.6041838289324,503.57707753630075,-2.8775889640809282,506.4546665003817,292.9233005262389,1.0
2023-10-11,6700.0,6775.0,6475.0,6525.0,70530000,5868.75,6288.962699656741,79.93205392888574,515.7648036956134,7.448109756185318,508.3166939394281,293.428779060079,0.0
2023-10-12,6675.0,6800.0,6575.0,6800.0,54294000,5911.25,6366.170159725393,78.82906057544045,517.4416284221916,7.299947586210749,510.1416808359808,288.5410091272162,0.0
2023-10-13,6600.0,6725.0,6450.0,6650.0,36895700,5952.5,6412.936127780315,75.46470611414375,506.8757033114225,-2.6127820196467155,509.4884853310692,287.573794189558,0.0
2023-10-16,6150.0,6625.0,6125.0,6600.0,70221000,5980.0,6360.348902224252,59.152154577075244,456.92375966838244,-42.05178053014947,498.9755401985319,302.74709460458956,1.0
2023-10-17,6250.0,6275.0,5875.0,6125.0,61106500,6035.0,6338.279121779402,61.161315368263466,420.55772109143254,-62.734255285679524,483.29197637711206,309.6937307042617,1.0
2023-10-18,6375.0,6475.0,6250.0,6250.0,50650600,6086.25,6345.623297423522,63.57322462528681,397.2446399147175,-68.83786916991573,466.0825090846332,303.64417851110016,1.0
