Date,Close,High,Low,Open,Volume,SMA_20,EMA_9,RSI_14,MACD_12_26_9,MACDh_12_26_9,MACDs_12_26_9,ATR_14,Target_Next_Day
2023-02-17,7980.41015625,8094.742679978511,7980.410156250001,8026.143165741404,43588900,7910.667578125,8027.263404741919,54.018586714934976,142.22110187254748,-22.289661485155506,164.51076335770298,146.67812979218047,1.0
2023-02-20,8003.27685546875,8071.876371372768,7957.543844866072,7980.410350167411,40077000,7931.2474365234375,8022.466094887286,55.055567358273635,131.6041206726959,-26.325314148005674,157.92943482070157,144.367729557503,0.0
2023-02-21,7957.54345703125,8049.009473778736,7957.54345703125,8026.142969591864,25390500,7952.9705810546875,8009.481567316079,52.50518550048627,118.13796264164284,-31.833177743246978,149.97114038488982,140.58903578535893,0.0
2023-02-22,7934.67724609375,8003.276761189662,7888.944236029809,7957.54375112572,38671900,7974.6937255859375,7994.520703071614,51.22741796894588,104.41716715629809,-36.44317858287337,140.86034573917146,138.7135707406799,1.0
2023-02-23,7980.41015625,8003.2766609957025,7888.944137267193,7888.944137267193,53412300,7986.126953125,7991.698593707291,53.65658299264469,96.12552629384754,-35.78785555625913,131.91338185010667,136.97206738266777,0.0
2023-02-24,7934.67724609375,8094.742781317543,7934.67724609375,8026.143266221632,44123400,7984.983642578125,7980.294324184584,50.925103912496155,84.88556952255294,-37.62224986204299,122.50781938459593,138.62160079989098,1.0
2023-02-27,8026.1435546875,8026.1435546875,7911.811025418448,7934.677531272258,59983900,7988.413647460938,7989.464170285168,55.77426813852481,82.40843633289205,-32.07950644136312,114.48794277425517,136.88666711911682,0.0
2023-02-28,8003.27685546875,8026.143360770089,7934.6773395647315,8026.143360770089,106349400,8000.990209960938,7992.2267073218845,54.32894230760386,77.7044108325681,-29.426825553349673,107.13123638591777,133.64234911937766,0.0
2023-03-01,7866.07861328125,8003.277658861737,7866.07861328125,7980.41115126499,67034700,8005.563500976563,7966.997088513758,46.536780378167556,62.18881129647343,-35.95394007155548,98.14275136802891,133.89639886659975,1.0
2023-03-02,7888.9453125,7957.544836956522,7866.078804347827,7866.078804347827,56672000,8013.566772460938,7951.3867333110065,47.87856466388014,51.14813454579962,-37.595693457783426,88.74382800358305,130.8656720672192,0.0
2023-03-03,7751.74560546875,7934.677655155328,7751.74560546875,7911.8111489445055,95376900,8003.276879882813,7911.458507742555,41.197669859184586,30.970440980289823,-46.21870961863458,77.1891505989244,134.58469904003053,0.0
2023-03-06,7683.1455078125,7820.344534737724,7683.1455078125,7820.344534737724,92652000,7988.413647460937,7865.795907756545,38.318555758683615,9.336394744359495,-54.282204683651926,63.61859942801142,134.77143674611577,1.0
